nin,school,level,enrolment_year,status
75364556815,Basse Senior Secondary School,Senior Secondary,2025,active
09320819672,Mansakonko Senior Secondary School,Senior Secondary,2022,active
48876634400,Kerewan Senior Secondary School,Senior Secondary,2023,active
47513627010,Janjanbureh Senior Secondary School,Senior Secondary,2023,active
08452059972,Mansakonko Senior Secondary School,Senior Secondary,2023,active
22948662836,Kerewan Senior Secondary School,Senior Secondary,2024,active
87547517799,Banjul Senior Secondary School,Senior Secondary,2024,active
31860320807,Mansakonko Senior Secondary School,Senior Secondary,2025,active
22646861642,Kanifing Senior Secondary School,Senior Secondary,2022,active
58771884133,Kanifing Senior Secondary School,Senior Secondary,2022,active
25898319489,Brikama Senior Secondary School,Senior Secondary,2023,active
41621052185,Basse Senior Secondary School,Senior Secondary,2023,active
93976158464,Brikama Senior Secondary School,Senior Secondary,2023,active
14659085380,Janjanbureh Senior Secondary School,Senior Secondary,2022,active
40692566636,Janjanbureh Senior Secondary School,Senior Secondary,2022,active
23004876452,Basse Senior Secondary School,Senior Secondary,2022,active
85003703826,Janjanbureh Senior Secondary School,Senior Secondary,2025,transferred
78794326270,Janjanbureh Senior Secondary School,Senior Secondary,2024,active
42108394906,Mansakonko Senior Secondary School,Senior Secondary,2024,active
65844093244,Kanifing Senior Secondary School,Senior Secondary,2022,active
76582802582,Janjanbureh Senior Secondary School,Senior Secondary,2023,active
54382993215,Banjul Senior Secondary School,Senior Secondary,2025,active
71883579511,Kerewan Senior Secondary School,Senior Secondary,2024,transferred
68855765237,Brikama Senior Secondary School,Senior Secondary,2023,active
26451547428,Mansakonko Senior Secondary School,Senior Secondary,2022,active
76608565178,Mansakonko Senior Secondary School,Senior Secondary,2024,active
84259967750,Brikama Senior Secondary School,Senior Secondary,2025,transferred
78495183801,Basse Senior Secondary School,Senior Secondary,2022,active
68982104602,Mansakonko Senior Secondary School,Senior Secondary,2025,active
74754072075,Mansakonko Senior Secondary School,Senior Secondary,2025,active
90618847918,Kanifing Senior Secondary School,Senior Secondary,2022,active
24886193073,Mansakonko Senior Secondary School,Senior Secondary,2022,transferred
28556898329,Kerewan Senior Secondary School,Senior Secondary,2024,active
04422485272,Basse Senior Secondary School,Senior Secondary,2025,active
43858176252,Banjul Senior Secondary School,Senior Secondary,2022,active
02831663233,Basse Senior Secondary School,Senior Secondary,2024,active
53478971331,Basse Senior Secondary School,Senior Secondary,2025,active
63608244560,Kanifing Senior Secondary School,Senior Secondary,2025,transferred
57699085417,Kanifing Senior Secondary School,Senior Secondary,2022,active
19018791697,Banjul Senior Secondary School,Senior Secondary,2023,active
28400198152,Banjul Senior Secondary School,Senior Secondary,2025,active
56073927319,Mansakonko Senior Secondary School,Senior Secondary,2025,active
87243854690,Banjul Senior Secondary School,Senior Secondary,2025,active
82761166033,Banjul Senior Secondary School,Senior Secondary,2024,active
81780578037,Kanifing Senior Secondary School,Senior Secondary,2025,transferred
07418288983,Mansakonko Senior Secondary School,Senior Secondary,2025,active
