nin,given_name,family_name,date_of_birth,sex,region,mother_name,birth_registration_no,residence_address
81399869879,Binta,Darboe,2007-01-20,F,Lower River,Awa Jallow,BR401193,"House 26, Lower River"
75364556815,Lamin,Jallow,2010-09-10,M,Upper River,Adama Darboe,BR247732,"House 166, Upper River"
55761698716,Lamin,Sowe,2010-08-13,M,Upper River,Jainaba Bah,BR985499,"House 108, Upper River"
09320819672,Kebba,Darboe,2007-02-21,M,Lower River,Amie Darboe,BR807058,"House 121, Lower River"
48876634400,Kebba,Touray,2010-08-26,M,North Bank,Jainaba Darboe,BR477420,"House 52, North Bank"
78768045717,Saikou,Bojang,2010-05-15,M,North Bank,Isatou Sanneh,BR983362,"House 187, North Bank"
47513627010,Modou,Darboe,2010-09-27,M,Central River,Awa Jammeh,BR932328,"House 51, Central River"
08452059972,Awa,Sowe,2007-08-19,F,Lower River,Isatou Jammeh,BR826187,"House 130, Lower River"
22948662836,Modou,Ceesay,2006-07-03,M,North Bank,Fatou Colley,BR463874,"House 166, North Bank"
87547517799,Lamin,Saidy,2007-03-19,M,Banjul,Jainaba Njie,BR554670,"House 160, Banjul"
31860320807,Sulayman,Colley,2007-08-23,M,Lower River,Ndey Ceesay,BR235412,"House 166, Lower River"
22646861642,Jainaba,Camara,2007-05-15,F,Kanifing,Kaddy Saidy,BR954583,"House 107, Kanifing"
58771884133,Sulayman,Ceesay,2006-08-21,M,Kanifing,Binta Sanneh,BR671536,"House 172, Kanifing"
25898319489,Fatou,Bojang,2007-10-10,F,West Coast,Sainabou Bah,BR802868,"House 143, West Coast"
41621052185,Awa,Bah,2010-02-10,F,Upper River,Binta Touray,BR373529,"House 66, Upper River"
46001304118,Fatou,Jammeh,2008-06-25,F,North Bank,Kaddy Jammeh,BR756123,"House 168, North Bank"
93976158464,Haddy,Colley,2008-01-24,F,West Coast,Amie Sanneh,BR124812,"House 73, West Coast"
14659085380,Momodou,Bojang,2006-03-20,M,Central River,Awa Jallow,BR139131,"House 33, Central River"
40692566636,Yusupha,Faal,2007-03-06,M,Central River,Jainaba Ceesay,BR793698,"House 184, Central River"
23004876452,Momodou,Faal,2010-02-27,M,Upper River,Isatou Sowe,BR139855,"House 167, Upper River"
85003703826,Bakary,Bojang,2008-04-18,M,Central River,Adama Camara,BR310742,"House 96, Central River"
78794326270,Sulayman,Camara,2010-12-14,M,Central River,Fatou Faal,BR280955,"House 22, Central River"
42108394906,Bakary,Sanneh,2010-09-26,M,Lower River,Ndey Faal,BR265721,"House 131, Lower River"
65844093244,Awa,Sowe,2008-06-05,F,Kanifing,Haddy Njie,BR883289,"House 162, Kanifing"
76582802582,Sainabou,Touray,2006-02-17,F,Central River,Ndey Bojang,BR774658,"House 197, Central River"
54382993215,Binta,Darboe,2006-12-03,F,Banjul,Haddy Bah,BR746923,"House 78, Banjul"
71883579511,Binta,Saidy,2006-08-25,F,North Bank,Adama Bah,BR889884,"House 170, North Bank"
68855765237,Isatou,Njie,2008-06-14,F,West Coast,Sainabou Sanneh,BR323216,"House 40, West Coast"
26451547428,Saikou,Faal,2008-04-11,M,Lower River,Isatou Sowe,BR909943,"House 32, Lower River"
76608565178,Momodou,Sowe,2007-07-12,M,Lower River,Ndey Camara,BR162947,"House 103, Lower River"
84259967750,Fatou,Ceesay,2007-11-04,F,West Coast,Ndey Colley,BR381693,"House 84, West Coast"
78495183801,Mariama,Touray,2008-04-15,F,Upper River,Mariama Jammeh,BR805841,"House 44, Upper River"
68982104602,Modou,Sowe,2010-04-16,M,Lower River,Ndey Faal,BR457843,"House 88, Lower River"
74754072075,Bakary,Bah,2009-04-12,M,Lower River,Adama Sowe,BR983160,"House 188, Lower River"
90618847918,Momodou,Sowe,2010-06-16,M,Kanifing,Binta Faal,BR456106,"House 93, Kanifing"
24886193073,Awa,Njie,2009-09-28,F,Lower River,Jainaba Touray,BR638634,"House 55, Lower River"
28556898329,Saikou,Sowe,2007-12-05,M,North Bank,Isatou Saidy,BR955520,"House 169, North Bank"
04422485272,Ndey,Touray,2006-03-22,F,Upper River,Isatou Sanneh,BR772373,"House 160, Upper River"
43858176252,Kebba,Bojang,2010-01-16,M,Banjul,Fatou Ceesay,BR199254,"House 91, Banjul"
02831663233,Bakary,Faal,2009-04-12,M,Upper River,Isatou Sowe,BR542470,"House 185, Upper River"
53478971331,Sulayman,Saidy,2006-06-23,M,Upper River,Ndey Jammeh,BR821326,"House 41, Upper River"
63608244560,Isatou,Darboe,2010-08-09,F,Kanifing,Binta Darboe,BR244648,"House 28, Kanifing"
57699085417,Jainaba,Darboe,2008-09-27,F,Kanifing,Jainaba Colley,BR656071,"House 26, Kanifing"
19018791697,Momodou,Jammeh,2009-09-01,M,Banjul,Isatou Camara,BR240845,"House 7, Banjul"
28400198152,Haddy,Bah,2009-04-11,F,Banjul,Amie Darboe,BR823994,"House 63, Banjul"
56073927319,Ebrima,Darboe,2010-07-16,M,Lower River,Jainaba Ceesay,BR623192,"House 56, Lower River"
87243854690,Saikou,Camara,2010-09-06,M,Banjul,Jainaba Jallow,BR690085,"House 95, Banjul"
82761166033,Sainabou,Ceesay,2008-03-17,F,Banjul,Adama Camara,BR188659,"House 66, Banjul"
81780578037,Fatou,Ceesay,2008-02-06,F,Kanifing,Ndey Jallow,BR392681,"House 53, Kanifing"
07418288983,Adama,Darboe,2006-09-12,F,Lower River,Mariama Sowe,BR512069,"House 119, Lower River"
