nin,school,grade,census_year
75364556815,Basse Senior Secondary School,Grade 10,2025
09320819672,Mansakonko Senior Secondary School,Grade 10,2025
48876634400,Kerewan Senior Secondary School,Grade 12,2025
47513627010,Janjanbureh Senior Secondary School,Grade 12,2025
08452059972,Mansakonko Senior Secondary School,Grade 10,2025
22948662836,Kerewan Senior Secondary School,Grade 10,2025
87547517799,Banjul Senior Secondary School,Grade 10,2025
31860320807,Mansakonko Senior Secondary School,Grade 12,2025
22646861642,Kanifing Senior Secondary School,Grade 11,2025
58771884133,Kanifing Senior Secondary School,Grade 12,2025
25898319489,Brikama Senior Secondary School,Grade 11,2025
41621052185,Basse Senior Secondary School,Grade 10,2025
93976158464,Brikama Senior Secondary School,Grade 12,2025
14659085380,Janjanbureh Senior Secondary School,Grade 12,2025
40692566636,Janjanbureh Senior Secondary School,Grade 11,2025
23004876452,Basse Senior Secondary School,Grade 10,2025
85003703826,Janjanbureh Senior Secondary School,Grade 10,2025
78794326270,Janjanbureh Senior Secondary School,Grade 10,2025
65844093244,Kanifing Senior Secondary School,Grade 11,2025
54382993215,Banjul Senior Secondary School,Grade 10,2025
71883579511,Kerewan Senior Secondary School,Grade 12,2025
68855765237,Brikama Senior Secondary School,Grade 11,2025
26451547428,Mansakonko Senior Secondary School,Grade 12,2025
76608565178,Mansakonko Senior Secondary School,Grade 12,2025
84259967750,Brikama Senior Secondary School,Grade 11,2025
78495183801,Basse Senior Secondary School,Grade 10,2025
68982104602,Mansakonko Senior Secondary School,Grade 12,2025
74754072075,Mansakonko Senior Secondary School,Grade 12,2025
90618847918,Kanifing Senior Secondary School,Grade 11,2025
24886193073,Mansakonko Senior Secondary School,Grade 12,2025
28556898329,Kerewan Senior Secondary School,Grade 12,2025
04422485272,Basse Senior Secondary School,Grade 11,2025
43858176252,Banjul Senior Secondary School,Grade 12,2025
02831663233,Basse Senior Secondary School,Grade 11,2025
53478971331,Basse Senior Secondary School,Grade 11,2025
63608244560,Kanifing Senior Secondary School,Grade 11,2025
57699085417,Kanifing Senior Secondary School,Grade 10,2025
19018791697,Banjul Senior Secondary School,Grade 10,2025
28400198152,Banjul Senior Secondary School,Grade 12,2025
56073927319,Mansakonko Senior Secondary School,Grade 11,2025
87243854690,Banjul Senior Secondary School,Grade 10,2025
82761166033,Banjul Senior Secondary School,Grade 12,2025
81780578037,Kanifing Senior Secondary School,Grade 12,2025
07418288983,Mansakonko Senior Secondary School,Grade 10,2025
